Last Price,Open Price,Max,Min,Size,Change Persent,Class
6186.2,5182.9,6858.1,4477.7,14.45,0.1936,Bitcoin
6233.7,6186.9,6930.2,5710.8,10.15,0.0077,Bitcoin
6857.4,6233.2,7182.7,5872.5,9.18,0.1001,Bitcoin
6867.8,6857.5,7440.3,6686.0,8.36,0.0015,Bitcoin
7230.8,6867.9,7259.4,6520.5,7.48,0.0529,Bitcoin
7540.4,7230.9,7684.6,6771.2,12.22,0.0428,Bitcoin
8966.3,7540.4,9437.5,7520.5,8.77,0.1891,Bitcoin
9554.6,8966.2,10033.0,8553.2,9.63,0.0656,Bitcoin
9379.5,9553.9,9887.5,8235.6,12.52,0.0183,Bitcoin
9177.0,9376.6,9930.2,8833.6,7.89,0.0216,Bitcoin
9692.5,9177.9,9729.9,8666.1,6.17,0.0562,Bitcoin
9669.6,9692.9,10301.8,9347.3,4.72,0.0024,Bitcoin
9471.3,9669.6,9970.9,9139.1,3.94,0.0205,Bitcoin
9358.8,9470.7,9577.1,8925.6,3.38,0.0119,Bitcoin
9008.3,9358.8,9751.9,8865.3,3.24,0.0374,Bitcoin
9134.4,9008.4,9289.0,8950.2,2.61,0.014,Bitcoin
9233.3,9134.3,9458.3,8932.1,3.03,0.0108,Bitcoin
9170.2,9234.2,9337.8,9052.0,2.76,0.0068,Bitcoin
9704.1,9170.1,9729.3,9106.4,2.56,0.0582,Bitcoin
11803.1,10961.1,11847.7,10771.8,4.12,0.2163,Bitcoin
11764.3,11802.6,12061.1,10730.7,3.74,0.0033,Bitcoin
11845.3,11764.4,12041.1,11146.7,3.46,0.0069,Bitcoin
11661.3,11845.5,12444.1,11382.1,3.65,0.0155,Bitcoin
11468.1,11661.1,11824.6,11131.0,3.4,0.0166,Bitcoin
10092.2,11468.1,12045.9,9897.8,56.56,0.12,Bitcoin
10441.9,10092.2,10480.3,9877.1,24.92,0.0347,Bitcoin
11081.8,10441.7,11177.1,10219.4,552.84,0.0613,Bitcoin
10727.9,11081.6,11081.6,10146.6,521.93,0.0319,Bitcoin
10544.2,10727.9,10946.6,10387.6,473.68,0.0171,Bitcoin
11298.4,10544.4,11475.0,10520.8,415.50,0.0715,Bitcoin
11362.1,11295.6,11715.9,11224.6,458.66,0.0056,Bitcoin
13117.2,11362.1,13213.5,11349.8,649.57,0.1545,Bitcoin
13797.3,13117.0,14065.4,12792.4,737.16,0.0518,Bitcoin
14828.4,13795.5,15955.2,13214.2,969.23,0.0747,Bitcoin
16071.0,14826.6,16474.1,14720.7,849.61,0.0838,Bitcoin
18687.2,16074.7,18966.0,15782.3,985.86,0.1628,Bitcoin
17730.7,18394.6,19486.7,16235.2,1.15,0.0512,Bitcoin
19146.5,17729.7,19897.4,17530.4,883.70,0.0799,Bitcoin
18808.9,19146.0,19424.6,17600.1,642.93,0.0176,Bitcoin
23844.0,18808.1,24107.1,18716.8,1.01,0.2677,Bitcoin
26454.4,23843.6,26826.0,22015.5,805.84,0.1095,Bitcoin
32193.3,26460.3,33233.5,25858.2,962.22,0.2169,Bitcoin
40151.9,32192.9,41921.7,28204.5,1.57,0.2472,Bitcoin
36019.5,40149.7,41362.4,30411.6,1.4,0.1029,Bitcoin
32088.9,36020.1,37821.0,28871.2,1.14,0.1091,Bitcoin
34283.1,32088.5,38546.0,29290.4,1.38,0.0684,Bitcoin
39256.6,34281.6,40939.7,32189.9,844.34,0.1451,Bitcoin
47168.7,39228.9,48927.4,37381.6,1.12,0.2016,Bitcoin
55923.7,47172.1,57523.8,45786.1,880.27,0.1856,Bitcoin
46136.7,55907.6,58335.1,44248.2,1.08,0.175,Bitcoin
48855.6,46136.0,52567.9,43100.6,647.90,0.0589,Bitcoin
61195.3,48899.0,61795.8,48890.6,726.92,0.2526,Bitcoin
58093.4,61192.7,61673.7,53342.6,705.78,0.0507,Bitcoin
55862.9,58097.4,58583.8,50441.3,736.81,0.0384,Bitcoin
57059.9,55856.9,60134.9,54711.3,551.09,0.0214,Bitcoin
59748.4,57059.7,61229.0,55489.3,478.37,0.0471,Bitcoin
60041.9,59772.4,64778.0,59250.3,738.10,0.0049,Bitcoin
50088.9,60043.2,60362.1,47659.4,1.12,0.1658,Bitcoin
57807.1,50088.2,58449.4,47098.5,650.34,0.1541,Bitcoin
58840.1,57807.2,59471.1,53741.5,714.62,0.0179,Bitcoin
46708.8,58840.6,59523.9,46331.1,971.69,0.2062,Bitcoin
37448.3,46729.3,49764.3,30261.7,2.1,0.1983,Bitcoin
34584.6,37446.8,40750.0,31192.4,1.36,0.0765,Bitcoin
35520.0,34589.3,39462.3,33441.0,795.23,0.027,Bitcoin
35467.5,35518.7,38340.8,31158.1,955.16,0.0015,Bitcoin
35513.4,35467.5,41318.0,34827.0,869.90,0.0013,Bitcoin
32243.4,35510.9,36097.9,28901.8,1.38,0.0921,Bitcoin
34742.8,32247.1,36590.3,32041.7,644.50,0.0775,Bitcoin
33510.6,34742.8,35957.6,32146.9,538.72,0.0355,Bitcoin
31518.6,33510.8,34598.0,31062.2,444.39,0.0594,Bitcoin
33824.8,31517.9,33955.0,29310.2,547.54,0.0732,Bitcoin
41553.7,34392.5,42285.3,33881.3,772.12,0.2285,Bitcoin
